Longitude,Latitude,House-Age,Area,Property-Type,Purpose,Floor,Layout,Elevator,Janitor,Parking-Space,Closing-Date,Price
120.99274001088497,24.800862050814597,29,22.05,住宅大樓(11層含以上有電梯),住家用,十六層/十九層,2房1廳1衛,有,有,0,112/08/01,"9,000,000"
120.96819496083258,24.822401105771586,23,46.10,住宅大樓(11層含以上有電梯),住家用,十五層/二十層,3房2廳2衛,有,有,1,112/08/07,"8,000,000"
120.9503750815197,24.755665607330574,25,9.74,公寓(5樓含以下無電梯),住家用,四層/四層,1房1廳1衛,無,有,0,112/08/13,"1,250,000"
120.97362580367351,24.82358491018132,31,31.71,華廈(10層含以下有電梯),住商用,"一層,二層,騎樓,地下層/七層",4房2廳2衛,有,有,0,112/08/14,"1,800,000"
121.01318314796754,24.786235265023404,28,26.10,住宅大樓(11層含以上有電梯),住家用,十一層/十三層,2房2廳1衛,有,有,1,112/08/06,"9,800,000"
120.92755259431583,24.844822965357572,40,33.92,透天厝,住家用,全/二層,3房2廳2衛,無,無,0,112/08/07,"5,000,000"
120.96156020653868,24.811872207709637,26,45.66,華廈(10層含以下有電梯),住家用,二層/六層,4房2廳2衛,有,有,1,112/08/24,"9,900,000"
120.97893839979925,24.764041929913994,26,52.93,透天厝,住家用,全/四層,5房2廳3衛,無,有,0,112/08/04,"13,200,000"
120.93603433387372,24.840601467200617,29,35.33,華廈(10層含以下有電梯),住家用,五層/七層,3房2廳1衛,有,無,1,112/08/12,"2,800,000"
121.01318314796754,24.786235265023404,28,26.60,住宅大樓(11層含以上有電梯),住家用,三層/十三層,3房2廳2衛,有,有,0,112/08/12,"10,780,000"
121.01053317653326,24.792203403823226,12,58.66,住宅大樓(11層含以上有電梯),住家用,十四層/十五層,2房2廳2衛,有,有,1,112/08/28,"27,200,000"
120.96720580478681,24.821967517354913,25,58.11,住宅大樓(11層含以上有電梯),住家用,十層/二十層,4房2廳2衛,有,有,1,112/08/14,"16,300,000"
121.01399465715167,24.791074530971173,3,33.02,住宅大樓(11層含以上有電梯),住家用,十八層/二十四層,2房2廳1衛,有,有,1,112/08/26,"17,600,000"
120.95662998981715,24.795131795763606,29,43.31,華廈(10層含以下有電梯),住家用,二層/五層,3房1廳2衛,有,無,1,112/08/28,"7,200,000"
120.95044540737202,24.77777682944068,1,129.66,透天厝,住家用,全/四層,12房1廳13衛,有,無,0,112/08/05,"39,500,000"
121.01495337724997,24.78581075281287,17,40.50,住宅大樓(11層含以上有電梯),住家用,七層/十三層,2房2廳1衛,有,有,2,112/08/26,"18,200,000"
120.96507032035066,24.817217999106823,20,53.34,住宅大樓(11層含以上有電梯),住家用,七層/十一層,3房2廳2衛,有,有,1,112/08/25,"15,750,000"
120.99104010130844,24.782190740800072,31,45.56,透天厝,住家用,全/三層,4房2廳2衛,無,無,0,112/08/17,"13,000,000"
121.00480711049757,24.803137356323855,5,41.44,華廈(10層含以下有電梯),住家用,一層/六層,2房2廳1衛,有,有,1,112/08/13,"15,500,000"
121.01198680344439,24.78962110350966,7,40.52,住宅大樓(11層含以上有電梯),住家用,十五層/二十三層,2房2廳1衛,有,有,1,112/08/07,"20,980,000"
121.01198680344439,24.78962110350966,7,52.15,住宅大樓(11層含以上有電梯),住家用,十二層/二十二層,4房2廳2衛,有,有,1,112/08/26,"26,500,000"
121.01259011786965,24.78980161812669,4,52.38,住宅大樓(11層含以上有電梯),住家用,十七層/二十九層,3房2廳2衛,有,有,1,112/08/13,"25,500,000"
120.96735810562217,24.769240366325878,1,45.07,華廈(10層含以下有電梯),其他,六層/六層,1廳2衛,有,有,1,112/08/20,"16,350,000"
120.95671238065333,24.814209292269695,27,12.96,華廈(10層含以下有電梯),住家用,四層/五層,1房1廳1衛,有,有,0,112/08/08,"3,140,000"
120.96720580478681,24.821967517354913,25,35.68,住宅大樓(11層含以上有電梯),住家用,二層/二十一層,3房2廳2衛,有,有,0,112/08/27,"9,550,000"
121.01208521032032,24.78451991634566,49,26.87,透天厝,住家用,全/二層,5房5衛,無,無,0,112/08/07,"13,500,000"
120.96735810562217,24.769240366325878,1,35.95,華廈(10層含以下有電梯),其他,四層/六層,1廳1衛,有,有,1,112/08/26,"12,180,000"
120.95152489063915,24.79920213692964,16,32.28,住宅大樓(11層含以上有電梯),住家用,六層/十五層,2房1廳1衛,有,有,1,112/08/26,"8,500,000"
121.00972207991866,24.791029724698213,10,31.58,住宅大樓(11層含以上有電梯),住家用,二層/十四層,1房1廳1衛,有,有,1,112/08/03,"14,800,000"
120.95166128645593,24.753490110350718,22,24.86,華廈(10層含以下有電梯),住家用,四層/五層,4房4衛,有,有,0,112/08/26,"3,840,000"
120.97884103704163,24.813401483463263,17,10.95,華廈(10層含以下有電梯),辦公用,二層/八層,1房1廳1衛,有,有,0,112/08/30,"4,600,000"
120.97576573847834,24.807694927835332,35,30.29,公寓(5樓含以下無電梯),住家用,四層/五層,3房2廳2衛,無,無,0,112/08/13,"7,800,000"
120.95152489063915,24.79920213692964,16,45.17,住宅大樓(11層含以上有電梯),住家用,十五層/十五層,3房2廳2衛,有,有,1,112/08/14,"14,700,000"
120.97191575856326,24.81733681750724,32,9.88,華廈(10層含以下有電梯),住家用,七層/七層,1房1廳1衛,有,有,0,112/08/06,"2,500,000"
120.97678464390201,24.807279772522715,9,13.43,住宅大樓(11層含以上有電梯),住家用,六層/十二層,1房1廳1衛,有,有,0,112/08/20,"5,800,000"
120.96228801547271,24.793020628335242,42,24.22,公寓(5樓含以下無電梯),住家用,五層/五層,3房2廳2衛,無,無,0,112/08/23,"3,970,000"
121.01805864228453,24.784898516070896,15,17.98,住宅大樓(11層含以上有電梯),辦公用,十一層/十三層,1房1廳1衛,有,有,1,112/08/28,"8,330,000"
120.93913247538647,24.79750022668523,11,51.64,住宅大樓(11層含以上有電梯),住家用,六層/十一層,4房2廳2衛,有,有,1,112/08/22,"16,500,000"
120.98437077381038,24.812481240122498,10,42.92,住宅大樓(11層含以上有電梯),住家用,四層/十四層,3房2廳2衛,有,有,1,112/08/19,"21,500,000"
120.97950378537485,24.813491850362254,5,50.08,住宅大樓(11層含以上有電梯),住家用,四層/十一層,3房2廳2衛,有,有,1,112/08/20,"23,200,000"
120.96989666042585,24.821760432243586,39,21.69,公寓(5樓含以下無電梯),住家用,三層/五層,3房2廳1衛,無,無,0,112/08/10,"5,000,000"
120.96362799893721,24.81052745573664,32,9.85,華廈(10層含以下有電梯),住家用,三層/五層,1房1廳1衛,有,無,0,112/08/22,"3,880,000"
120.9596451892842,24.79950248751422,36,30.30,公寓(5樓含以下無電梯),住家用,四層/五層,3房2廳2衛,無,無,0,112/08/12,"7,190,000"
120.96605833169093,24.82168737872717,43,22.31,公寓(5樓含以下無電梯),住家用,三層/四層,3房2廳2衛,無,無,0,112/08/12,"5,000,000"
121.00129559641469,24.788953450262888,26,13.66,華廈(10層含以下有電梯),住家用,四層/五層,1房1衛,有,有,0,112/08/20,"3,950,000"
120.96131343683062,24.810174760888028,28,43.89,住宅大樓(11層含以上有電梯),住家用,六層/十二層,3房2廳2衛,有,有,1,112/08/20,"13,380,000"
120.962237874765,24.795295821984762,18,11.23,華廈(10層含以下有電梯),住家用,三層/六層,1房1廳1衛,有,有,0,112/08/29,"4,160,000"
