longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,sale_floor,total_floor,price
120.9289761,24.82973689,25,43.42,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,4,15,9000000
120.9693549,24.77185007,23,114.26,0,1,0,112,6,4,7,1,0,1,0,0,1,0,0,0,4,35500000
120.9317088,24.80778965,25,32.38,0,0,0,112,4,2,2,1,0,1,0,0,1,0,0,0,1,8800000
120.9791372,24.81695878,29,18.59,1,1,0,112,1,2,1,1,0,0,0,1,0,0,0,9,14,4980000
120.9276816,24.84410977,40,26.17,0,0,0,112,4,2,1,1,1,0,0,0,0,0,0,2,4,4270000
120.9930467,24.79997726,25,36.41,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,8,12,12800000
120.9686818,24.81412199,27,13.94,1,0,0,112,1,1,1,1,0,0,0,1,0,0,0,6,12,5380000
121.0163673,24.78337286,28,32.71,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,6,7,11520000
120.9624351,24.79734538,26,9.81,1,1,0,112,0,0,0,0,0,0,0,1,0,0,0,10,17,2600000
121.0180586,24.78489852,15,17.98,1,1,1,112,1,1,1,0,0,0,0,1,0,0,0,11,13,8330000
120.9391325,24.79750023,11,51.64,1,1,1,112,4,2,2,1,0,0,0,1,0,0,0,6,11,16500000
120.9843708,24.81248124,10,42.92,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,4,14,21500000
120.9795038,24.81349185,5,50.08,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,4,11,23200000
120.9698967,24.82176043,39,21.69,0,0,0,112,3,2,1,1,1,0,0,0,0,0,0,3,5,5000000
120.963628,24.81052746,32,9.85,1,0,0,112,1,1,1,1,0,0,1,0,0,0,0,3,5,3880000
120.9596452,24.79950249,36,30.3,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,4,5,7190000
120.9700821,24.79112637,25,65.42,1,0,0,112,4,2,5,0,0,1,0,0,1,0,0,0,3,21500000
120.9660583,24.82168738,43,22.31,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,3,4,5000000
121.0012956,24.78895345,26,13.66,1,1,0,112,0,0,0,1,0,0,1,0,0,0,0,4,5,3950000
120.9613134,24.81017476,28,43.89,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,6,12,13380000
120.9638526,24.82069372,25,38.6,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,4,6,10580000
120.9622379,24.79529582,18,11.23,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,3,6,4160000
120.9738159,24.81360834,16,28.92,1,1,0,112,2,2,2,1,0,0,0,1,0,0,0,9,28,12340000
120.9515249,24.79920214,16,45.17,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,15,15,14700000
121.024516,24.78146672,33,56.87,1,1,0,112,2,2,2,1,0,0,1,0,0,0,1,0,7,14200000
120.9514268,24.79713455,28,47.26,1,1,1,112,4,2,2,1,0,0,1,0,0,0,0,3,10,10700000
120.9626495,24.80797211,3,11.74,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,6,10,4900000
120.9391325,24.79750023,11,48.75,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,4,11,15160000
120.9391893,24.80266461,29,30.6,1,1,0,112,3,2,2,1,0,0,1,0,0,0,0,7,9,5300000
120.9705,24.8222842,27,43.31,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,9,14,12700000
120.9891115,24.78414982,16,21.3,1,1,1,112,2,1,1,0,0,0,1,0,0,0,0,3,6,7880000
121.0037288,24.79573391,12,57.87,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,11,14,24000000
120.9651912,24.80929091,2,20.8,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,5,7,8500000
120.9683056,24.77616554,18,23.01,1,1,1,112,1,1,1,1,0,0,1,0,0,0,0,4,4,5300000
121.0097221,24.79102972,10,46.09,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,10,14,22220000
121.011898,24.79221233,8,50.85,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,4,28,26280000
120.9530962,24.80275991,14,56.4,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,10,13,18000000
120.9712969,24.7983766,28,22.56,1,1,0,112,2,1,1,1,0,0,1,0,0,0,0,9,10,5200000
121.0269278,24.77578727,23,10.83,0,0,0,112,1,1,1,1,1,0,0,0,0,0,0,4,4,4050000
120.9515249,24.79920214,16,31.48,1,1,1,112,1,1,1,1,0,0,0,1,0,0,0,5,15,8500000
120.9672058,24.82196752,25,37.16,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,2,21,11250000
120.930764,24.83482986,25,40.49,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,4,12,11500000
120.970581,24.81443837,34,45.29,0,1,0,112,3,2,3,1,1,0,0,0,0,0,0,3,5,9880000
120.9667909,24.81992697,29,41.61,1,1,1,112,0,0,0,1,0,0,1,0,0,0,0,4,7,11000000
